"exam_id"	"exam_date"	"exam_year"	"exam_type"
"GLBAEP103100046"	"1768-10-24"	1768	"settlement"
"GLBAEP103100049"	"1768-10-24"	1768	"settlement"
"GLBAEP103100043"	"1768-10-31"	1768	"settlement"
"GLBAEP103100067"	"1768-12-00"	1768	"settlement"
"GLBAEP103100060"	"1768-12-29"	1768	"settlement"
"GLBAEP103100068"	"1769-01-20"	1769	"settlement"
"GLBAEP103100073"	"1769-01-20"	1769	"settlement"
"GLBAEP103100076"	"1769-02-10"	1769	"settlement"
"GLBAEP103100083"	"1769-02-13"	1769	"settlement"
"GLBAEP103100089"	"1769-03-00"	1769	"settlement"
"GLBAEP103100084"	"1769-03-03"	1769	"settlement"
"GLBAEP103100094"	"1769-03-31"	1769	"settlement"
"GLBAEP103100099"	"1769-03-31"	1769	"settlement"
"GLBAEP103100105"	"1769-04-00"	1769	"settlement"
"GLBAEP103100108"	"1769-04-00"	1769	"settlement"
"GLBAEP103100100"	"1769-04-10"	1769	"settlement"
"GLBAEP103100111"	"1769-04-17"	1769	"settlement"
"GLBAEP103100121"	"1769-06-15"	1769	"settlement"
"GLBAEP103100115"	"1769-07-00"	1769	"settlement"
"GLBAEP103100118"	"1769-07-00"	1769	"settlement"
"GLBAEP103100112"	"1769-07-06"	1769	"bastardy"
"GLBAEP103100126"	"1769-07-06"	1769	"settlement"
"GLBAEP103100140"	"1769-07-22"	1769	"settlement"
"GLBAEP103100137"	"1769-07-24"	1769	"settlement"
"GLBAEP103100132"	"1769-07-26"	1769	"settlement"
"GLBAEP103100147"	"1769-07-26"	1769	"bastardy"
"GLBAEP103100131"	"1769-07-27"	1769	"settlement"
"GLBAEP103100148"	"1769-08-31"	1769	"settlement"
"GLBAEP103100155"	"1769-09-16"	1769	"settlement"
"GLBAEP103100163"	"1769-10-00"	1769	"settlement"
"GLBAEP103100156"	"1769-10-06"	1769	"bastardy"
"GLBAEP103100164"	"1769-11-13"	1769	"settlement"
"GLBAEP103100171"	"1769-11-13"	1769	"settlement"
"GLBAEP103100172"	"1769-11-28"	1769	"settlement"
"GLBAEP103100179"	"1769-11-28"	1769	"settlement"
"GLBAEP103100189"	"1769-12-00"	1769	"settlement"
"GLBAEP103100199"	"1769-12-00"	1769	"settlement"
"GLBAEP103100200"	"1769-12-00"	1769	"settlement"
"GLBAEP103100059"	"1769-12-03"	1769	"settlement"
"GLBAEP103100182"	"1769-12-05"	1769	"settlement"
"GLBAEP103100185"	"1769-12-05"	1769	"settlement"
"GLBAEP103100188"	"1769-12-08"	1769	"settlement"
"GLBAEP103100192"	"1769-12-14"	1769	"settlement"
"GLBAEP103100207"	"1770-01-15"	1770	"settlement"
"GLBAEP103100208"	"1770-01-29"	1770	"settlement"
"GLBAEP103100215"	"1770-01-30"	1770	"settlement"
"GLBAEP103100223"	"1770-02-00"	1770	"settlement"
